id	effectiveTime	active	moduleId	refSetId	referencedComponentId	attributeValue
1011300d-0bc4-4380-bda3-6f10a3fe402f	20130726T034510Z	1	900000000000207008	450994008	48694002	
a9d29590-6d4d-47ff-905d-85e69700a7ff	20130726T034510Z	1	900000000000207008	450994008	91175000	
e24ec0ca-e5ce-44a4-86b7-faaa62024cfa	20130726T034510Z	1	900000000000207008	450994008	56265001	
33b71263-317a-4c15-8057-4fe11963cef9	20130726T034510Z	1	900000000000207008	450994008	49765009	
76d74897-0c6b-4f12-9ee7-1f92b63bec9a	20130726T034510Z	1	900000000000207008	450994008	45757002	
7e13728d-f12b-413d-a1e1-753ef65d6fee	20130726T034510Z	1	900000000000207008	450994008	247479008	
1d581d7f-d027-4fec-9a42-a3a4cc5a0322	20130726T034510Z	1	900000000000207008	450994008	237331002	
ac1e1b89-8216-4356-9bac-ffd0ed8605af	20130726T034510Z	1	900000000000207008	450994008	309086004	
fc155831-5d51-44a4-b691-87e88d4a0fef	20130726T034510Z	1	900000000000207008	450994008	240244006	
58852165-b3b5-4fc6-9033-61b7124c9a27	20130726T034510Z	1	900000000000207008	450994008	60098005	
b3fd9c10-ec86-45da-acb4-9feca253d6d0	20130726T034510Z	1	900000000000207008	450994008	2314005	
d794ad37-c60d-4f7c-8075-a2a9aae53cf8	20130726T034510Z	1	900000000000207008	450994008	37796009	
4fd19bd5-ba43-4334-9dd0-fac5884c9fb8	20130726T034510Z	1	900000000000207008	450994008	20301004	
dbeb5cdb-fcb0-4e2b-9a87-a1db5a3f30e7	20130726T034510Z	1	900000000000207008	450994008	367498001	
c5a8451f-1b19-42c5-a8bf-3eba21825239	20130726T034510Z	1	900000000000207008	450994008	48661000	
26ddfc6f-11f7-4d73-858b-ca3905a87836	20130726T034510Z	1	900000000000207008	450994008	128348002	
72f370e1-06e0-4604-9614-354f8fb3f430	20130726T034510Z	1	900000000000207008	450994008	193255007	
7ae5e2cd-1528-4ece-9b69-15dace5875c2	20130726T034510Z	1	900000000000207008	450994008	36989005	
d74f4d84-740b-4020-a407-b0323c742278	20130726T034510Z	1	900000000000207008	450994008	197938001	
2fd22b6a-af32-4b3e-a66e-e117231e1809	20130726T034510Z	1	900000000000207008	450994008	278516003	
f3aed613-6302-469a-a052-780a3067dc9f	20130726T034510Z	1	900000000000207008	450994008	31070006	
bab8588a-f904-47c8-8190-0ce66b26f041	20130726T034510Z	1	900000000000207008	450994008	185351004	
70e0e4c0-69f9-4ffe-b076-e4c5d6953541	20130726T034510Z	1	900000000000207008	450994008	275496003	
0079debb-0265-4e7a-b0ef-23e46f1b88f7	20130726T034510Z	1	900000000000207008	450994008	248110007	
3d687e59-a298-4129-9ad2-c9f01b44681e	20130726T034510Z	1	900000000000207008	450994008	95800001	
6decb0c9-5527-4490-89f1-739d0be143c8	20130726T034510Z	1	900000000000207008	450994008	191736004	
4bd60f97-ca40-4fa9-a5fe-58b6aa682fc7	20130726T034510Z	1	900000000000207008	450994008	48167000	
f8f579a3-095c-41c5-8e79-8da658c54c03	20130726T034510Z	1	900000000000207008	450994008	10623005	
ea19a485-0773-487c-8181-776675d7caca	20130726T034510Z	1	900000000000207008	450994008	62744007	
fb91160a-5280-4de1-a25b-2f5b70a217e9	20130726T034510Z	1	900000000000207008	450994008	9763007	
4aae0285-27c5-4444-9328-60107070ecd4	20130726T034510Z	1	900000000000207008	450994008	74715005	
c9132172-8657-4355-bc18-86bde86f0832	20130726T034510Z	1	900000000000207008	450994008	8217007	
40d446a4-c6ec-4f17-9f77-b061ab86bd25	20130726T034510Z	1	900000000000207008	450994008	9468002	
49d08c17-ce8a-4bc1-b03e-8271709b0617	20130726T034510Z	1	900000000000207008	450994008	399072004	
722591e4-6b98-4d9c-8fdf-03f765f7c3d9	20130726T034510Z	1	900000000000207008	450994008	40541001	
7f729205-66ee-4a2c-9717-0d32262578af	20130726T034510Z	1	900000000000207008	450994008	71938000	
5d3b6476-3f1b-448d-88c7-64e6f7c585c1	20130726T034510Z	1	900000000000207008	450994008	42800007	
39334bac-e084-4288-9050-ebd2589505a7	20130726T034510Z	1	900000000000207008	450994008	313279000	
67e8b938-c06d-4000-ad73-3f3762a74957	20130726T034510Z	1	900000000000207008	450994008	266257000	
882fc175-672e-423c-8d3b-f9c2aa0ec4c0	20130726T034510Z	1	900000000000207008	450994008	297982009	
0d793255-c52c-46f2-a855-5467bff1deb6	20130726T034510Z	1	900000000000207008	450994008	68142008	
4e31ad99-de61-407b-a579-efcc36ad5d4d	20130726T034510Z	1	900000000000207008	450994008	19429009	
5311a86d-f72f-412c-b320-a964ae72d9ff	20130726T034510Z	1	900000000000207008	450994008	283734005	
b337f968-95e3-4160-8816-5560269d259a	20130726T034510Z	1	900000000000207008	450994008	191627008	
9833d876-298b-4633-82c6-40fcd76058b7	20130726T034510Z	1	900000000000207008	450994008	30473006	
e3cb4c2b-6929-49b1-9e1f-dedd603c4200	20130726T034510Z	1	900000000000207008	450994008	315642008	
da9c567e-53b4-48b6-821d-b59edbe21254	20130726T034510Z	1	900000000000207008	450994008	418648005	
ab7b6477-452a-49e2-a7a7-746c1aaaa3d2	20130726T034510Z	1	900000000000207008	450994008	79267007	
75e2e880-ff85-47ea-9397-c390e4b0d16d	20130726T034510Z	1	900000000000207008	450994008	301061006	
