id	effectiveTime	active	moduleId	refSetId	referencedComponentId	attributeValue
e4182f9d-019f-434c-91f4-a708c75a60a7	20130429T050637Z	1	900000000000207008	450994008	48694002	
c23e03f0-d97c-452d-a235-94fd78950b44	20130429T050637Z	1	900000000000207008	450994008	386689009	
de1b4f7d-0b5c-4af0-9446-520d8ad3de61	20130429T050637Z	1	900000000000207008	450994008	91175000	
2adc4649-25ad-4e01-abf9-54716f67b8cf	20130429T050637Z	1	900000000000207008	450994008	43724002	
45007a71-57cf-4bcd-a0a0-5b0c2e736728	20130429T050637Z	1	900000000000207008	450994008	224977004	
ebd420e7-a7f0-4cef-b577-b749afd3d32b	20130429T050637Z	1	900000000000207008	450994008	45757002	
1e048684-94d3-4da1-a801-85d09fb45b78	20130429T050637Z	1	900000000000207008	450994008	18876004	
7ff199c7-6689-4476-9dca-9ce4ee53dfcd	20130429T050637Z	1	900000000000207008	450994008	309086004	
8fa47800-77e2-45e5-9dd3-de4fdcc88e56	20130429T050637Z	1	900000000000207008	450994008	129844000	
6edb0e66-658e-4b67-a1ca-5afe6b166fb3	20130429T050637Z	1	900000000000207008	450994008	2314005	
e4582e48-501d-4db6-8dab-c0d1ec194f3b	20130429T050637Z	1	900000000000207008	450994008	20301004	
f3b1a421-ae6b-4d1f-aba6-f6bc040d95d2	20130429T050637Z	1	900000000000207008	450994008	40917007	
106ca979-13d2-4649-8239-098d577b93dd	20130429T050637Z	1	900000000000207008	450994008	165332000	
4d64db88-4f30-405a-8383-b43ede8937d8	20130429T050637Z	1	900000000000207008	450994008	21134002	
5c69bf04-92cc-4290-bc92-dc0e0be6b0e5	20130429T050637Z	1	900000000000207008	450994008	185351004	
83386a66-ece6-4ec0-be53-3e409e808f87	20130429T050637Z	1	900000000000207008	450994008	82991003	
bbbc8efe-29d7-4192-8bcf-2a7329fc8c55	20130429T050637Z	1	900000000000207008	450994008	27678003	
a0441989-2488-49e5-8cad-fa2167f8def8	20130429T050637Z	1	900000000000207008	450994008	299060006	
00adcd63-a7e1-48f9-9a7c-add8ddc8dc16	20130429T050637Z	1	900000000000207008	450994008	23268009	
084088e0-1943-4292-b9a5-e5322c2caa5f	20130429T050637Z	1	900000000000207008	450994008	48167000	
7d66e7bf-0f44-4516-9235-e62c7a221011	20130429T050637Z	1	900000000000207008	450994008	54586004	
d71de557-94de-4e15-900f-1dbc28890dbd	20130429T050637Z	1	900000000000207008	450994008	8517006	
e017bd20-78a2-4578-a13a-9563366c9fb5	20130429T050637Z	1	900000000000207008	450994008	418290006	
fbaa3b85-a255-481d-ab8e-860a436d9d72	20130429T050637Z	1	900000000000207008	450994008	62744007	
