id	effectiveTime	active	moduleId	refSetId	referencedComponentId	attributeValue
6feb0457-763d-4207-ac7c-801aca86c33d	20130726T035105Z	1	900000000000207008	450994008	48694002	
6f381ac7-b792-49a7-bf6a-a277eb55c6c2	20130726T035105Z	1	900000000000207008	450994008	91175000	
44af29cb-35e3-4438-a3da-1c4a967312e1	20130726T035105Z	1	900000000000207008	450994008	56265001	
70ea69d8-2448-4aa3-91bf-1a0e6ece6f25	20130726T035105Z	1	900000000000207008	450994008	49765009	
3a8c712d-4019-4148-ae89-32cd1c3a1810	20130726T035105Z	1	900000000000207008	450994008	45757002	
eda6bb51-4486-4a7c-ae43-6970e6dd73b9	20130726T035105Z	1	900000000000207008	450994008	247479008	
92df25a6-7572-49fc-b1b1-254fe5a12c78	20130726T035105Z	1	900000000000207008	450994008	237331002	
ab927450-97d2-411e-afee-95aaea4e9ce8	20130726T035105Z	1	900000000000207008	450994008	309086004	
81ab6220-726d-405a-b1d7-28e0f43053c0	20130726T035105Z	1	900000000000207008	450994008	240244006	
a9d1d938-3220-461a-874d-9cd710686304	20130726T035105Z	1	900000000000207008	450994008	2314005	
793bdce3-59b9-4f8f-b14a-a8ce41856088	20130726T035105Z	1	900000000000207008	450994008	60098005	
6b50ae2c-e128-4753-856d-1f798dadc97a	20130726T035105Z	1	900000000000207008	450994008	37796009	
790f805b-2681-4591-84bc-21f19d049853	20130726T035105Z	1	900000000000207008	450994008	20301004	
6ab83dce-6f42-403c-b3d3-e925d83f169f	20130726T035105Z	1	900000000000207008	450994008	367498001	
b8cfdf37-76ee-4dea-93c2-7ac04dd85662	20130726T035105Z	1	900000000000207008	450994008	48661000	
972574b6-d7c0-4e04-980d-f18bc5438fda	20130726T035105Z	1	900000000000207008	450994008	165332000	
8de3c136-2e59-4dac-99bd-183a1db1e4ef	20130726T035105Z	1	900000000000207008	450994008	193255007	
4f8b7de4-bf42-4b2a-ae02-279d8746eda9	20130726T035105Z	1	900000000000207008	450994008	128348002	
d00101b1-9a8d-4c84-953c-4da55a8f6734	20130726T035105Z	1	900000000000207008	450994008	36989005	
e879f9f9-a6a6-4688-bd54-a900803903f1	20130726T035105Z	1	900000000000207008	450994008	197938001	
dde0d05c-c319-4fd6-bba0-f15de55cdada	20130726T035105Z	1	900000000000207008	450994008	31070006	
e15b6c28-9007-4768-b9cd-23f11487d870	20130726T035105Z	1	900000000000207008	450994008	278516003	
e4fd1547-0c70-4097-a0b0-a132ac570e34	20130726T035105Z	1	900000000000207008	450994008	185351004	
2194dd34-f723-404e-b0c9-1e1035c125a8	20130726T035105Z	1	900000000000207008	450994008	275496003	
a22e0f28-7f8f-4579-9f1f-199bac3ba766	20130726T035105Z	1	900000000000207008	450994008	248110007	
806f89d0-a533-4b63-9b5e-015e88fc321a	20130726T035105Z	1	900000000000207008	450994008	95800001	
d36203c8-7ec9-4ed2-bb85-097f7507e8d3	20130726T035105Z	1	900000000000207008	450994008	191736004	
00e93198-5b1b-406c-94dd-02305b2436fc	20130726T035105Z	1	900000000000207008	450994008	48167000	
fd6ab25c-ae16-41ec-92e2-1705ac8f0911	20130726T035105Z	1	900000000000207008	450994008	10623005	
41b4c1ed-0491-48e0-8aba-d84c80e43de0	20130726T035105Z	1	900000000000207008	450994008	62744007	
3428c3ee-3f7e-4000-95f8-f0aadfecc5b7	20130726T035105Z	1	900000000000207008	450994008	95087004	
396adf24-121e-4e49-a438-fd62741a1cac	20130726T035105Z	1	900000000000207008	450994008	9763007	
e7406339-3d55-4021-8fea-bb4c5d5bcb3f	20130726T035105Z	1	900000000000207008	450994008	91251008	
5f8ebfcd-6154-47e6-8a63-3b7efa1a684f	20130726T035105Z	1	900000000000207008	450994008	9468002	
74b0df58-d542-49b3-9935-318ea351c7e9	20130726T035105Z	1	900000000000207008	450994008	8217007	
8a267d5b-8eea-4dbd-89eb-fb7c66202b2f	20130726T035105Z	1	900000000000207008	450994008	74715005	
9bf5ec54-d53f-42a5-8ccd-a6a730acf3d6	20130726T035105Z	1	900000000000207008	450994008	399072004	
51bfd7b5-9852-4b52-ac98-81a5b5ec0012	20130726T035105Z	1	900000000000207008	450994008	40541001	
b251aed5-53a0-44f1-a3f4-1741040d1d60	20130726T035105Z	1	900000000000207008	450994008	71938000	
cd13fc47-676e-4e58-ac92-23d2e611c098	20130726T035105Z	1	900000000000207008	450994008	42800007	
df610225-e032-4176-ad5a-0db4f52c90cc	20130726T035105Z	1	900000000000207008	450994008	313279000	
97030b43-fdc5-4795-a9d0-10d2bbbe9b9b	20130726T035105Z	1	900000000000207008	450994008	266257000	
d1a7b97e-fe9c-472c-9fde-b7c5ae161a1a	20130726T035105Z	1	900000000000207008	450994008	297982009	
4385d2cc-b30d-4d27-b6a4-fa5dffcad26f	20130726T035105Z	1	900000000000207008	450994008	68142008	
350dfd72-fedf-4b9c-8a09-01c157ede968	20130726T035105Z	1	900000000000207008	450994008	19429009	
bc4aa0d3-6a20-4b44-859c-9296a5263448	20130726T035105Z	1	900000000000207008	450994008	283734005	
76a0f68e-307a-4b92-97f4-140ed8931aa9	20130726T035105Z	1	900000000000207008	450994008	191627008	
367a243b-8015-4053-806a-1f643da07e19	20130726T035105Z	1	900000000000207008	450994008	30473006	
4ab8ad6f-ab2d-4449-b25c-78b991ba1364	20130726T035105Z	1	900000000000207008	450994008	315642008	
c26a9f3b-0d91-4907-a19f-1a212535a9fb	20130726T035105Z	1	900000000000207008	450994008	79267007	
a77828d1-56ec-4371-948f-7304e7976844	20130726T035105Z	1	900000000000207008	450994008	418648005	
a3ae64c5-f468-4411-bb48-aead81715d6c	20130726T035105Z	1	900000000000207008	450994008	301061006	
c76b1e60-8e19-44e6-bbc4-95328f7da600	20130726T035105Z	1	900000000000207008	450994008	118623005	
5ce27832-4d62-4c29-837a-a9ecdba9a7d6	20130726T035105Z	1	900000000000207008	450994008	308472003	
ad53265c-4d03-474a-8c48-e11b3e66ad27	20130726T035105Z	1	900000000000207008	450994008	102614006	
0b624026-ab9f-40b0-ae27-90cb247c1e4d	20130726T035105Z	1	900000000000207008	450994008	402290005	
88050c17-5727-4311-ad33-654c1703fccd	20130726T035105Z	1	900000000000207008	450994008	279029001	
e7a75760-0d30-400c-9533-e557a9a34274	20130726T035105Z	1	900000000000207008	450994008	35646002	
